"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Benin","BEN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.6981887817383","64.9971771240234","","","77.9996032714844","72.1768417358398","","","","","40.3982200622559","42.631031036377","46.8895606994629","","","67.59375","69.09716796875","70.4166107177734","68.2663497924805","70.4254608154297","71.2228927612305","76.9972991943359","",
"Burkina Faso","BFA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4177398681641","","86.8469772338867","89.4923477172852","88.2582168579102","86.9417572021484","87.6678924560547","87.6603927612305","86.1144638061523","","","94.8324813842773","85.5863876342773","84.3585968017578","85.4200134277344","73.193733215332","85.8375625610352","87.5757293701172","88.5932464599609","89.4517974853516","",
"Bangladesh","BGD","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.4021987915039","51.4322395324707","55.9990005493164","54.3633308410645","58.4075317382813","","57.7341499328613","","","48.4505615234375","47.5789985656738","50.4313201904297","50.4312705993652","","","","",
"Bulgaria","BGR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3359832763672","82.0623397827148","82.194221496582","82.7675399780273","82.4818267822266","83.6934280395508","83.7441101074219","100","100","100","",
"Bahamas, The","BHS","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4372406005859","","","95.1207504272461","","91.5348815917969","","88.8222732543945","94.4628067016602","91.0844421386719","84.4204177856445","91.548713684082","94.2885818481445","94.4308395385742","87.4098663330078","81.4687271118164","89.6463012695313","90.0682830810547","89.6463012695313","89.782470703125","","","",
"Bosnia and Herzegovina","BIH","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.9037780761719","97.7423629760742","98.5277786254883","99.7972183227539","99.6296081542969","99.8100662231445","99.7715530395508","99.8662033081055","99.7615814208984","99.8773498535156","99.6439895629883","99.6285095214844","99.4370727539063","99.3871688842773","99.4728622436523","99.6488418579102","99.5548782348633","99.515022277832","99.847297668457","",
"Belize","BLZ","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0864105224609","40.8976287841797","","40.985050201416","51.4461784362793","","39.3763885498047","45.4585494995117","42.7577209472656","42.5376281738281","45.2048988342285","47.5115013122559","54.3443298339844","48.7762985229492","60.7496795654297","67.5039215087891","72.8448333740234","75.0073776245117","79.2283706665039","82.2722091674805","86.0662002563477","",
"Bermuda","BMU","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","","","","","100","100","","100","","100","","","","","",
